Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2024-01-27T00:30:00+00:00;27;01;2024;2024-01-27;00:30;746667.090848;383101.3308;192873.7433;79081.572;1401723.7369479998
2024-01-27T12:00:00+00:00;27;01;2024;2024-01-27;12:00;884461.707437;344665.4167;175954.6339;66884.0105;1471965.768537
2024-01-28T23:45:00+00:00;28;01;2024;2024-01-28;23:45;776451.906083;299852.1002;172859.246;84401.0151;1333564.267383
2024-01-30T06:15:00+00:00;30;01;2024;2024-01-30;06:15;578797.136424;435182.8553;195493.3516;70467.1482;1279940.491524
2024-02-02T23:15:00+00:00;02;02;2024;2024-02-02;23:15;864156.770429;412262.6018;200930.2303;97326.513;1574676.115529
2024-02-03T01:00:00+00:00;03;02;2024;2024-02-03;01:00;681111.59589;374354.8576;200033.6559;65442.6934;1320942.8027899999
2024-02-05T21:15:00+00:00;05;02;2024;2024-02-05;21:15;1144000.102153;495077.6088;209023.4343;68086.1411;1916187.286353
2024-02-07T18:00:00+00:00;07;02;2024;2024-02-07;18:00;958465.07802;607940.831;218946.1173;65762.267;1851114.2933200002
2024-02-08T03:30:00+00:00;08;02;2024;2024-02-08;03:30;561440.543605;393479.1432;208592.6508;80953.5392;1244465.876805
2024-02-09T03:15:00+00:00;09;02;2024;2024-02-09;03:15;575262.440396;391290.1213;209874.679;95800.8022;1272228.042896
